"StartDate","EndDate","Date","TaxonVersionKey","TaxonName","Projection","Precision","SiteName","Recorder","ZeroAbundance","UnderValidation","Sampling.method","County","Abundance_Simplified","Type","lon","lat"
2017-03-20,2017-03-20,2017-03-20,"NBNSYS0000005133","Lutra lutra","OSI",100,"aghnaveloge bridge","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.87472259864681,51.8323012096628
2013-09-18,2013-09-18,2013-09-18,"NHMSYS0020774297","Neovison vison","OSI",100,"araglin","Patrick Smiddy","False","False","Scat collected","Cork","Unknown","Mammal",-8.10531595591628,52.2066677000423
2016-12-31,2016-12-31,2016-12-31,"NBNSYS0000005133","Lutra lutra","OSI",100,"ardcahan bridge near dunmanway","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-9.09754227735587,51.7486451908949
2015-09-09,2015-09-09,2015-09-09,"NHMSYS0020774297","Neovison vison","OSI",100,"ballybeg","Patrick Smiddy","False","False","Scat collected","Cork","Unknown","Mammal",-8.66430951682759,52.2210231749637
2016-02-25,2016-02-25,2016-02-25,"NBNSYS0000005133","Lutra lutra","OSI",100,"ballycullane bridge near rathmore","Patrick Smiddy","False","False","Spraint collected","Kerry","Unknown","Mammal",-9.24434208354378,52.0842209883104
2015-10-08,2015-10-08,2015-10-08,"NHMSYS0020774297","Neovison vison","OSI",100,"ballyhooly","Patrick Smiddy","False","False","Scat collected","Cork","Unknown","Mammal",-8.39289809632347,52.1404577663084
2015-09-10,2015-09-10,2015-09-10,"NBNSYS0000005133","Lutra lutra","OSI",100,"ballyhoura bridge near churchtown","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.64457994473745,52.2732559840735
2015-08-17,2015-08-17,2015-08-17,"NBNSYS0000005133","Lutra lutra","OSI",100,"ballythomas near ballyclogh","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.76117158759398,52.1521377121808
2015-06-24,2015-06-24,2015-06-24,"NBNSYS0000005133","Lutra lutra","OSI",100,"ballyvolane bridge near castlelyons","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.18952694404004,52.0582797122283
2017-04-07,2017-04-07,2017-04-07,"NHMSYS0020774297","Neovison vison","OSI",100,"baxters bridge near bandon","Patrick Smiddy","False","False","Scat collected","Cork","Unknown","Mammal",-8.8092614088424,51.7410962813685
2013-09-01,2013-09-01,2013-09-01,"NBNSYS0000005133","Lutra lutra","OSI",100,"bealalaboga bridge near glanworth","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.38476165165464,52.2132778259196
2015-06-21,2015-06-21,2015-06-21,"NBNSYS0000005133","Lutra lutra","OSI",100,"bride bridge near glenville","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.46074754140291,52.0629246071119
2015-06-28,2015-06-28,2015-06-28,"NBNSYS0000005133","Lutra lutra","OSI",100,"bridebridge","Patrick Smiddy","False","False","Spraint collected","Cork","Unknown","Mammal",-8.22606960662529,52.0770880156239
