RecordKey	SurveyKey	SampleKey	StartDate	EndDate	DateType	Date	TaxonVersionKey	TaxonName	GridReference	East	North	Projection	Precision	SiteKey	SiteName	Recorder	Determiner	ZeroAbundance	UnderValidation	ImagePath	Type of sighting	County	Vice-county	Habitat description	Abundance	Record comment	Life stage	Survey name
814418ff-59b0-11e7-a40d-00155d018200			20/06/2017	20/06/2017	D	20/06/2017	NHMSYS0000080219	Oryctolagus cuniculus	G713936	171350	393650	OSI	100		Sheskinmore Nature Reserve	Emmi Virkki		False	False		Sighting of live animal	Donegal			10			
e35c9481-b885-11e7-a266-00155d018200			09/10/2017	09/10/2017	D	09/10/2017	NBNSYS0000005078	Erinaceus europaeus	O146272	314650	227250	OSI	100		St Endas national historic park	Edward Hill		False	False		Sighting of live animal	Dublin			1			
59599f83-3172-11e7-8717-00155d018201			10/03/2017	10/03/2017	D	10/03/2017	NHMSYS0000080188	Vulpes vulpes	O065300	306550	230050	OSI	100		N7	Edward Hill		False	False		Road Kill	Dublin	Dublin		1			
599c58ab-3172-11e7-8717-00155d018201			05/04/2017	05/04/2017	D	05/04/2017	NHMSYS0000080188	Vulpes vulpes	N827169	282750	216950	OSI	100		Old Connell, Newbridge	Edward Hill		False	False		Road Kill	Kildare	Kildare		1			
98363975745410263			26/10/2018	26/10/2018	D	26/10/2018	NHMSYS0000080188	Vulpes vulpes	O112282	311250	228250	OSI	100		Tallagh	Edward Hill		False	False		Road Kill	Dublin			1			
98363975745410264			13/10/2018	13/10/2018	D	13/10/2018	NHMSYS0000080188	Vulpes vulpes	T103981	310350	198150	OSI	100		Wicklow Gap	Edward Hill		False	False		Sighting of live animal	Wicklow			1			
99679645628151804			05/06/2020	05/06/2020	D	05/06/2020	NHMSYS0000080190	Martes martes	S424072	242450	107250	OSI	100		Ballybrack	Egidio Giani		False	False			Waterford			1			
99928969553388245			06/07/2022	06/07/2022	D	06/07/2022	NHMSYS0000332764	Sciurus carolinensis		-6.2623695600	53.3198153100	WGS84	100		Rathmines	Eileen Lee		False	False		Sighting of live animal	Dublin			2			
100708897597165376			08/04/2021	08/04/2021	D	08/04/2021	NBNSYS0000042516	Lepus timidus subsp. hibernicus	R316683	131650	168350	OSI	100		Drumquin	Ellen Quinn		False	False			Clare			2			
24894664796539394			10/12/2016	10/12/2016	D	10/12/2016	NHMSYS0000332764	Sciurus carolinensis		-6.1117100000	53.2310500000	WGS84	100		Quins Road, Shankill	Ferdia Marnell		False	False		Sighting of live animal	Dublin			1			
100708897597166081			31/03/2023	31/03/2023	D	31/03/2023	NBNSYS0000042516	Lepus timidus subsp. hibernicus		-6.2357273000	53.4257453000	WGS84	100		Dublin Airport	Ferdia Marnell		False	False			Dublin			1			
100588520250278003			25/04/2023	25/04/2023	D	25/04/2023	NHMSYS0000080219	Oryctolagus cuniculus		-9.9456495000	52.1134758000	WGS84	100		Inch dunes	Ferdia Marnell		False	False		Sighting of live animal	Kerry			6			
100182717261476822			12/01/2023	12/01/2023	D	12/01/2023	NHMSYS0000080188	Vulpes vulpes	O205370	320550	237050	OSI	100		Raheny	Gary Meyler		False	False			Dublin						
99928969553388045			17/04/2022	17/04/2022	D	17/04/2022	NBNSYS0000005108	Sciurus vulgaris	R654544	165450	154450	OSI	100		Annacotty	Conor Murphy		False	False		Sighting of live animal	Limerick			1			
100708897597165613			21/07/2021	21/07/2021	D	21/07/2021	NBNSYS0000042516	Lepus timidus subsp. hibernicus	W553473	155350	47350	OSI	100		Artiteige	Dara Desmond		False	False			Cork			1			
b1fb2d2f-7630-11e7-ad98-00155d018200			29/07/2017	29/07/2017	D	29/07/2017	NHMSYS0000080188	Vulpes vulpes	F625216	62550	321650	OSI	100		Aghleam	Dave Suddaby		False	False		Sighting of live animal	Mayo			1			
